NOME,PLATAFORMA,GENERO,VENDAS(AN),VENDAS(EU),VENDAS(JP),VENDAS(Outros),VENDAS(GLOBAL),soma_total
ATV Quad Power Racing 2,GC,Racing,0.22,0.06,0.0,0.01,0.28,0.06
Digimon Adventure: Anode Tamer,WS,Role-Playing,0.0,0.0,0.28,0.0,0.28,0.28
Hatsune Miku: Project Diva f,PS3,Misc,0.08,0.0,0.19,0.02,0.28,0.19
Fantastic 4: Flame On,GBA,Action,0.2,0.08,0.0,0.01,0.28,0.08
Divinity: Original Sin,PS4,Role-Playing,0.1,0.12,0.02,0.04,0.28,0.13999999999999999
Marvel Nemesis: Rise of the Imperfects,XB,Fighting,0.21,0.06,0.0,0.01,0.28,0.06
The King of Fighters '95,SAT,Fighting,0.0,0.0,0.28,0.0,0.28,0.28
F/A-18F Super Hornet,GBA,Simulation,0.2,0.08,0.0,0.01,0.28,0.08
Final Fantasy VI Advance,GBA,Role-Playing,0.0,0.0,0.28,0.01,0.28,0.28
LEGO The Lord of the Rings,PSV,Action,0.09,0.13,0.0,0.06,0.28,0.13
Polaris,2600,Action,0.26,0.02,0.0,0.0,0.28,0.02
All Star Cheer Squad,DS,Sports,0.26,0.0,0.0,0.02,0.28,0.0
Viewtiful Joe,PS2,Action,0.14,0.11,0.0,0.04,0.28,0.11
Triple Play 2000,N64,Sports,0.27,0.01,0.0,0.0,0.28,0.01
DeathSmiles,X360,Shooter,0.15,0.06,0.05,0.02,0.28,0.11
Baby Pals,DS,Simulation,0.26,0.01,0.0,0.02,0.28,0.01
Fable: The Journey,X360,Role-Playing,0.18,0.08,0.0,0.02,0.28,0.08
Bratz Ponyz,DS,Adventure,0.26,0.0,0.0,0.02,0.28,0.0
Arcade Hits: Frisky Tom,PS,Action,0.16,0.11,0.0,0.02,0.28,0.11
Junior Brain Trainer 2,DS,Misc,0.04,0.2,0.0,0.03,0.28,0.2
Bladestorm: The Hundred Years' War,PS3,Action,0.1,0.03,0.14,0.02,0.28,0.17
SAW,X360,Action,0.13,0.12,0.0,0.03,0.28,0.12
Chromehounds,X360,Simulation,0.24,0.0,0.01,0.02,0.28,0.01
Harry Potter and the Sorcerer's Stone,PS2,Action,0.14,0.11,0.0,0.04,0.28,0.11
Unreal Championship 2: The Liandri Conflict,XB,Shooter,0.22,0.05,0.0,0.01,0.28,0.05
Kung Fu Chaos,XB,Fighting,0.21,0.06,0.0,0.01,0.28,0.06
Mega Man: Dr. Wily's Revenge,GB,Platform,0.0,0.0,0.28,0.0,0.28,0.28
Reel Fishing: Angler's Dream,Wii,Sports,0.25,0.01,0.0,0.02,0.28,0.01
Shrek the Third,Wii,Action,0.25,0.01,0.0,0.02,0.28,0.01
Godzilla: Domination!,GBA,Fighting,0.2,0.07,0.0,0.01,0.28,0.07
Famista '92,NES,Sports,0.0,0.0,0.28,0.0,0.28,0.28
Tales of the World: Radiant Mythology 3,PSP,Role-Playing,0.0,0.0,0.28,0.0,0.28,0.28
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,Misc,0.0,0.0,0.28,0.0,0.28,0.28
Jackass the Game,PS2,Action,0.14,0.11,0.0,0.04,0.28,0.11
Mega Man II,GB,Platform,0.0,0.0,0.28,0.0,0.28,0.28
Pirates of the Caribbean: Dead Man's Chest,PSP,Adventure,0.25,0.0,0.0,0.02,0.28,0.0
Lord of Darkness,SNES,Action,0.0,0.0,0.28,0.0,0.28,0.28
Hannah Montana: Spotlight World Tour,PS2,Action,0.12,0.02,0.0,0.14,0.28,0.02
Rocket Power: Beach Bandits,GBA,Platform,0.2,0.07,0.0,0.01,0.28,0.07
Carol Vorderman's Sudoku,PS2,Puzzle,0.0,0.23,0.0,0.05,0.28,0.23
Operation Flashpoint: Red River,X360,Shooter,0.1,0.14,0.01,0.03,0.28,0.15000000000000002
Transformers: Dark of the Moon,X360,Action,0.13,0.12,0.0,0.03,0.28,0.12
MX SuperFly featuring Ricky Carmichael,PS2,Racing,0.14,0.11,0.0,0.04,0.28,0.11
Surf's Up,DS,Sports,0.26,0.0,0.0,0.02,0.28,0.0
Assassin's Creed II: Discovery,DS,Action,0.15,0.11,0.0,0.03,0.28,0.11
Syphon Filter: Dark Mirror,PS2,Shooter,0.14,0.11,0.0,0.04,0.28,0.11
Conflict: Desert Storm II - Back to Bagdhad,XB,Shooter,0.21,0.06,0.0,0.01,0.28,0.06
Mission: Impossible - Operation Surma,PS2,Platform,0.14,0.11,0.0,0.04,0.28,0.11
Sesame Street: Elmo's A-to-Zoo Adventure,DS,Misc,0.26,0.0,0.0,0.02,0.28,0.0
MLB 07: The Show,PSP,Sports,0.26,0.0,0.0,0.02,0.28,0.0
Kung Zhu,DS,Action,0.26,0.0,0.0,0.02,0.28,0.0
Pitfall: The Mayan Adventure,GBA,Platform,0.2,0.07,0.0,0.01,0.28,0.07
Driver: Parallel Lines,PS2,Racing,0.12,0.1,0.03,0.03,0.28,0.13
Monster Hunter Stories,3DS,Action,0.0,0.0,0.28,0.0,0.28,0.28
Ben 10 Ultimate Alien: Cosmic Destruction,Wii,Platform,0.17,0.09,0.0,0.02,0.28,0.09
The Urbz: Sims In the City (US weekly sales),DS,Simulation,0.26,0.0,0.0,0.02,0.28,0.0
Mega Man ZX,DS,Platform,0.16,0.0,0.1,0.02,0.28,0.1
Backyard Wrestling 2: There Goes the Neighborhood,PS2,Fighting,0.14,0.11,0.0,0.04,0.28,0.11
Disney's Treasure Planet,GBA,Action,0.2,0.07,0.0,0.01,0.28,0.07
Guitar Hero: Van Halen,Wii,Misc,0.13,0.12,0.0,0.03,0.28,0.12
Dead or Alive,PS,Fighting,0.09,0.06,0.1,0.02,0.28,0.16
Dead to Rights: Retribution,PS3,Shooter,0.1,0.12,0.02,0.05,0.28,0.13999999999999999
Wild ARMs 5,PS2,Role-Playing,0.14,0.11,0.0,0.04,0.28,0.11
Payday 2,PS4,Shooter,0.1,0.14,0.0,0.05,0.28,0.14
NFL Blitz 20-02,PS2,Sports,0.14,0.11,0.0,0.04,0.28,0.11
Mega Man 7,SNES,Platform,0.03,0.01,0.23,0.01,0.28,0.24000000000000002
El Shaddai: Ascension of the Metatron,PS3,Action,0.11,0.06,0.08,0.03,0.28,0.14
Tony Hawk: Shred,PS3,Sports,0.18,0.06,0.0,0.04,0.28,0.06
Disney Channel: All Star Party,Wii,Misc,0.18,0.08,0.0,0.02,0.28,0.08
Shrek: Ogres & Dronkeys,DS,Simulation,0.26,0.0,0.0,0.02,0.28,0.0
NCAA March Madness 2005,XB,Sports,0.21,0.06,0.0,0.01,0.28,0.06
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,Action,0.22,0.06,0.0,0.01,0.28,0.06
NBA In The Zone,PS,Sports,0.16,0.11,0.0,0.02,0.28,0.11
Alien: Isolation,X360,Shooter,0.15,0.1,0.0,0.02,0.28,0.1
Batman: The Brave and the Bold the Videogame,Wii,Action,0.2,0.05,0.0,0.02,0.28,0.05
Corvette,GBA,Racing,0.2,0.07,0.0,0.01,0.28,0.07
Kenka Bancho: Badass Rumble,PSP,Action,0.06,0.0,0.2,0.01,0.28,0.2
Moshi Monsters: Moshlings Theme Park,3DS,Misc,0.13,0.13,0.0,0.03,0.28,0.13
Cabela's Big Game Hunter 2012,X360,Sports,0.24,0.02,0.0,0.02,0.28,0.02
F1 ROC: Race of Champions,SNES,Sports,0.0,0.0,0.28,0.0,0.28,0.28
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,Action,0.22,0.06,0.0,0.01,0.28,0.06
Silent Hill 2: Restless Dreams,XB,Action,0.21,0.06,0.0,0.01,0.28,0.06
Sniper Elite 3,PS3,Shooter,0.1,0.13,0.0,0.05,0.28,0.13
NES Remix,WiiU,Action,0.17,0.0,0.08,0.02,0.28,0.08
Skylanders: Trap Team,3DS,Action,0.16,0.1,0.0,0.02,0.28,0.1
Soul Nomad & the World Eaters,PS2,Role-Playing,0.14,0.11,0.0,0.04,0.28,0.11
Bass Strike,PS2,Sports,0.14,0.11,0.0,0.04,0.28,0.11
NHL Hitz 20-03,PS2,Sports,0.14,0.11,0.0,0.04,0.28,0.11
Bionic Commando,X360,Platform,0.12,0.12,0.01,0.03,0.28,0.13
Monopoly Streets,X360,Misc,0.16,0.09,0.0,0.02,0.28,0.09
Pac-Man Fever,GC,Misc,0.21,0.06,0.0,0.01,0.28,0.06
Trivial Pursuit,PS3,Misc,0.12,0.11,0.0,0.05,0.28,0.11
Medieval Moves: Deadmund's Quest,PS3,Action,0.13,0.11,0.0,0.04,0.28,0.11
Yu-Gi-Oh! World Championship 2008,DS,Strategy,0.13,0.02,0.12,0.01,0.28,0.13999999999999999
Thief (2014),X360,Action,0.14,0.11,0.0,0.02,0.28,0.11
Real Pool,PS2,Sports,0.14,0.11,0.0,0.04,0.28,0.11
Mister Mosquito,PS2,Shooter,0.05,0.04,0.17,0.01,0.28,0.21000000000000002
Tom and Jerry Tales,DS,Platform,0.2,0.05,0.0,0.02,0.28,0.05
Kakyuusei,SAT,Strategy,0.0,0.0,0.28,0.0,0.28,0.28
Attack on Titan (KOEI),PS4,Action,0.04,0.11,0.11,0.03,0.28,0.22
Rugby World Cup 2011,X360,Sports,0.03,0.21,0.0,0.04,0.28,0.21
CSI: Deadly Intent,Wii,Adventure,0.12,0.13,0.0,0.03,0.28,0.13
Civilization II,PS,Strategy,0.15,0.11,0.0,0.02,0.28,0.11
Dynasty Warriors: Gundam,PS2,Action,0.0,0.0,0.28,0.0,0.28,0.28
Madagascar,XB,Platform,0.21,0.06,0.0,0.01,0.28,0.06
The Smurfs: Dance Party,Wii,Misc,0.21,0.04,0.0,0.02,0.28,0.04
Virtua Fighter 5 Online,X360,Fighting,0.2,0.02,0.03,0.02,0.28,0.05
Indiana Jones and the Staff of Kings,PS2,Action,0.11,0.01,0.0,0.16,0.28,0.01
Angry Birds Star Wars,X360,Strategy,0.16,0.1,0.0,0.02,0.28,0.1
F-1 Grand Prix,SNES,Racing,0.0,0.0,0.28,0.0,0.28,0.28
SimCity 2000,SAT,Simulation,0.0,0.0,0.28,0.0,0.28,0.28
Deer Hunter,PS2,Sports,0.14,0.11,0.0,0.04,0.28,0.11
Puyo Puyo! 15th Anniversary,DS,Puzzle,0.0,0.0,0.28,0.0,0.28,0.28
Pokemon Box: Ruby & Sapphire,GC,Misc,0.0,0.0,0.27,0.01,0.28,0.27
Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,Role-Playing,0.0,0.0,0.26,0.02,0.28,0.26
Dave Mirra Freestyle BMX 2,GC,Sports,0.21,0.06,0.0,0.01,0.28,0.06
One Piece: Unlimited World Red,PS3,Action,0.09,0.1,0.06,0.04,0.28,0.16
Wappy Dog,DS,Simulation,0.26,0.0,0.0,0.02,0.28,0.0
Warpath: Jurassic Park,PS,Fighting,0.15,0.1,0.0,0.02,0.28,0.1
Tak and the Guardians of Gross,PS2,Action,0.14,0.11,0.0,0.04,0.28,0.11
True Crime: New York City,XB,Action,0.21,0.06,0.0,0.01,0.28,0.06
Summer Heat Beach Volleyball,PS2,Sports,0.14,0.11,0.0,0.04,0.28,0.11
NCAA Basketball 09,PS2,Sports,0.14,0.11,0.0,0.04,0.28,0.11
Avatar: The Last Airbender,Wii,Adventure,0.23,0.02,0.0,0.02,0.28,0.02
Power Pro Kun Pocket 3,GBA,Sports,0.0,0.0,0.27,0.01,0.28,0.27
Castlevania: Aria of Sorrow,GBA,Platform,0.2,0.07,0.0,0.0,0.28,0.07
Myst III: Exile,PS2,Adventure,0.14,0.11,0.0,0.04,0.28,0.11
Shin Megami Tensei: Strange Journey,DS,Role-Playing,0.13,0.0,0.14,0.01,0.28,0.14
Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,Shooter,0.0,0.0,0.28,0.0,0.28,0.28
Armored Core: Project Phantasma,PS,Simulation,0.06,0.04,0.15,0.02,0.28,0.19
Army of Two: The Devil's Cartel,PS3,Shooter,0.11,0.11,0.01,0.05,0.28,0.12
Donkey Kong GB: Dinky Kong & Dixie Kong,GB,Platform,0.0,0.0,0.28,0.0,0.28,0.28
Kobitodzukan: Kobito Kansatsu Set,3DS,Misc,0.0,0.0,0.28,0.0,0.28,0.28
Nichibutsu Arcade Classics,SNES,Misc,0.0,0.0,0.28,0.0,0.28,0.28
FIFA Soccer 07,X360,Sports,0.24,0.01,0.0,0.02,0.28,0.01
Patapon 3,PSP,Misc,0.05,0.03,0.17,0.02,0.27,0.2
Ice Age: Dawn of the Dinosaurs,Wii,Action,0.11,0.14,0.0,0.03,0.27,0.14
Ace Attorney 6,3DS,Adventure,0.0,0.0,0.27,0.0,0.27,0.27
Cabela's Trophy Bucks,PS2,Sports,0.13,0.11,0.0,0.04,0.27,0.11
Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,Misc,0.0,0.0,0.27,0.0,0.27,0.27
Q-Ball: Billiards Master,PS2,Sports,0.13,0.1,0.0,0.04,0.27,0.1
Mr. Do!,2600,Action,0.26,0.02,0.0,0.0,0.27,0.02
Tao Feng: Fist of the Lotus,XB,Fighting,0.21,0.06,0.0,0.01,0.27,0.06
Guitar Hero: Van Halen,PS3,Misc,0.14,0.09,0.0,0.04,0.27,0.09
Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,Fighting,0.0,0.0,0.26,0.02,0.27,0.26
Dragon Ball Z: Budokai 2,GC,Fighting,0.21,0.06,0.0,0.01,0.27,0.06
The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,Action,0.0,0.0,0.27,0.01,0.27,0.27
Over the Hedge,DS,Platform,0.24,0.01,0.0,0.02,0.27,0.01
Motocross Maniacs Advance,GBA,Racing,0.2,0.07,0.0,0.0,0.27,0.07
Resident Evil 2: Dual Shock Edition,PS,Action,0.0,0.0,0.26,0.02,0.27,0.26
Dynasty Warriors,PS,Action,0.09,0.06,0.11,0.02,0.27,0.16999999999999998
M&M's Blast!,GBA,Puzzle,0.2,0.07,0.0,0.0,0.27,0.07
Siren: Blood Curse,PS3,Action,0.0,0.17,0.09,0.01,0.27,0.26
NBA 2K12,PSP,Sports,0.22,0.03,0.0,0.03,0.27,0.03
Final Fantasy X International,PS2,Role-Playing,0.0,0.0,0.27,0.0,0.27,0.27
Tiny Toon Adventures: Plucky's Big Adventure,PS,Action,0.15,0.1,0.0,0.02,0.27,0.1
NHL Hitz 20-02,XB,Sports,0.2,0.06,0.0,0.01,0.27,0.06
Indy 500,2600,Racing,0.26,0.01,0.0,0.0,0.27,0.01
GRID 2,X360,Racing,0.08,0.16,0.0,0.03,0.27,0.16
Trivial Pursuit,PS2,Misc,0.09,0.01,0.0,0.17,0.27,0.01
Evil Dead: Hail to the King,PS,Adventure,0.15,0.1,0.0,0.02,0.27,0.1
Need for Speed: The Run,Wii,Action,0.11,0.12,0.01,0.03,0.27,0.13
Dragon Ball GT: Final Bout,PS,Fighting,0.02,0.02,0.22,0.02,0.27,0.24
Burstrick: Wake Boarding!!,PS,Sports,0.15,0.1,0.0,0.02,0.27,0.1
Need for Speed: Most Wanted,WiiU,Racing,0.13,0.12,0.0,0.02,0.27,0.12
Dave Mirra Freestyle BMX: Maximum Remix,PS,Sports,0.15,0.1,0.0,0.02,0.27,0.1
The Evil Within,PC,Action,0.1,0.16,0.0,0.02,0.27,0.16
Mass Effect Trilogy,PC,Action,0.09,0.16,0.0,0.02,0.27,0.16
Rock Revolution,X360,Misc,0.25,0.0,0.0,0.02,0.27,0.0
Dead Rising 2: Off the Record,X360,Action,0.17,0.08,0.0,0.02,0.27,0.08
WWII Aces,Wii,Simulation,0.25,0.0,0.0,0.02,0.27,0.0
Guitar Hero Live,PS3,Misc,0.11,0.12,0.0,0.04,0.27,0.12
Beamrider,2600,Racing,0.26,0.01,0.0,0.0,0.27,0.01
Athens 2004,PS2,Sports,0.13,0.1,0.0,0.03,0.27,0.1
Gunship,PS,Simulation,0.15,0.1,0.0,0.02,0.27,0.1
Jikkyou Powerful Pro Yakyuu Portable 4,PSP,Sports,0.0,0.0,0.27,0.0,0.27,0.27
SD Gundam G Generation Portable,PSP,Strategy,0.0,0.0,0.27,0.0,0.27,0.27
Pro Race Driver,PS2,Racing,0.13,0.1,0.0,0.03,0.27,0.1
Sydney 2000,PS,Sports,0.15,0.1,0.0,0.02,0.27,0.1
Hot Wheels: Track Attack,DS,Racing,0.17,0.08,0.0,0.02,0.27,0.08
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,Role-Playing,0.21,0.05,0.0,0.01,0.27,0.05
Bishoujo Senshi Sailormoon R,SNES,Fighting,0.0,0.0,0.27,0.0,0.27,0.27
Slam Dunk: Yonkyo Taiketsu!!,SNES,Sports,0.0,0.0,0.27,0.0,0.27,0.27
Iron Man 2,X360,Action,0.15,0.09,0.0,0.03,0.27,0.09
Disgaea 3: Absence of Detention,PSV,Role-Playing,0.11,0.05,0.07,0.03,0.27,0.12000000000000001
Rocky: Legends,PS2,Action,0.13,0.1,0.0,0.03,0.27,0.1
NickToons: Racing,GBA,Racing,0.19,0.07,0.0,0.0,0.27,0.07
iCarly 2: iJoin The Click!,DS,Adventure,0.25,0.0,0.0,0.02,0.27,0.0
The Warriors,PSP,Action,0.23,0.01,0.0,0.02,0.27,0.01
EyePet,PSP,Simulation,0.02,0.17,0.0,0.09,0.27,0.17
Flag Capture,2600,Action,0.25,0.02,0.0,0.0,0.27,0.02
Bridge,2600,Misc,0.25,0.02,0.0,0.0,0.27,0.02
G-Force,PS2,Action,0.12,0.01,0.0,0.14,0.27,0.01
Remington Super Slam Hunting: Africa,Wii,Sports,0.25,0.0,0.0,0.02,0.27,0.0
RalliSport Challenge 2,XB,Racing,0.18,0.08,0.0,0.01,0.27,0.08
Pac-Pix,DS,Puzzle,0.16,0.0,0.1,0.01,0.27,0.1
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,Role-Playing,0.0,0.0,0.27,0.0,0.27,0.27
F1 Race Stars,X360,Racing,0.07,0.17,0.0,0.02,0.27,0.17
Sing Party,WiiU,Misc,0.13,0.12,0.0,0.02,0.27,0.12
Over the Hedge,GBA,Platform,0.19,0.07,0.0,0.0,0.27,0.07
Wave Rally,PS2,Racing,0.13,0.1,0.0,0.03,0.27,0.1
Sherlock Holmes: Crimes & Punishments,PS4,Adventure,0.09,0.14,0.0,0.04,0.27,0.14
Sengoku Basara 4,PS3,Action,0.0,0.0,0.27,0.0,0.27,0.27
Disney's Chicken Little,GC,Platform,0.21,0.05,0.0,0.01,0.27,0.05
NHL 07,X360,Sports,0.25,0.0,0.0,0.02,0.27,0.0
RollerCoaster Tycoon 3,PC,Strategy,0.01,0.22,0.0,0.04,0.27,0.22
Ty the Tasmanian Tiger,GC,Platform,0.21,0.05,0.0,0.01,0.27,0.05
WWE Road to WrestleMania X8,GBA,Fighting,0.19,0.07,0.0,0.0,0.27,0.07
Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,Role-Playing,0.0,0.0,0.26,0.01,0.27,0.26
Medarot 3: Kabuto / Kuwagata Version,GB,Role-Playing,0.0,0.0,0.27,0.0,0.27,0.27
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,Role-Playing,0.13,0.1,0.0,0.03,0.27,0.1
NASCAR 06: Total Team Control,XB,Racing,0.2,0.06,0.0,0.01,0.27,0.06
BloodRayne 2,PS2,Shooter,0.13,0.1,0.0,0.03,0.27,0.1
Rory McIlroy PGA Tour,XOne,Action,0.16,0.09,0.0,0.02,0.27,0.09
The Club,X360,Shooter,0.15,0.1,0.0,0.02,0.27,0.1
NHL 2002,XB,Sports,0.2,0.06,0.0,0.01,0.27,0.06
LEGO The Hobbit,XOne,Action,0.13,0.12,0.0,0.02,0.27,0.12
Lightning Returns: Final Fantasy XIII,X360,Role-Playing,0.15,0.08,0.01,0.02,0.27,0.09
Tiger Woods PGA Tour 07,PSP,Sports,0.2,0.04,0.0,0.03,0.27,0.04
Jikkyou Powerful Pro Yakyuu 5,N64,Sports,0.0,0.0,0.27,0.0,0.27,0.27
NBA Jam 99,N64,Sports,0.25,0.02,0.0,0.0,0.27,0.02
Shadow Man,N64,Action,0.18,0.08,0.0,0.01,0.27,0.08
Command & Conquer,N64,Strategy,0.22,0.05,0.0,0.0,0.27,0.05
NBA In The Zone '98,N64,Sports,0.25,0.02,0.0,0.0,0.27,0.02
Shadow of Rome,PS2,Action,0.13,0.1,0.0,0.03,0.27,0.1
Rhythm Thief & the Emperor's Treasure,3DS,Misc,0.07,0.07,0.12,0.01,0.27,0.19
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,Adventure,0.0,0.07,0.19,0.01,0.27,0.26
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,Action,0.0,0.0,0.27,0.0,0.27,0.27
NASCAR 2011: The Game,PS3,Racing,0.25,0.0,0.0,0.02,0.27,0.0
Harry Potter and the Order of the Phoenix,PS2,Action,0.13,0.1,0.0,0.03,0.27,0.1
Transformers: Cybertron Adventures,Wii,Action,0.14,0.1,0.0,0.02,0.27,0.1
Stuntman: Ignition,PS2,Racing,0.13,0.1,0.0,0.03,0.27,0.1
Monopoly,DS,Misc,0.15,0.09,0.0,0.02,0.27,0.09
Gun,X360,Shooter,0.24,0.01,0.0,0.02,0.27,0.01
NHL 2K11,Wii,Sports,0.23,0.02,0.0,0.02,0.27,0.02
Fantastic 4,XB,Action,0.2,0.06,0.0,0.01,0.27,0.06
Mat Hoffman's Pro BMX,GBA,Sports,0.19,0.07,0.0,0.0,0.27,0.07
Rapala Pro Bass Fishing 2010,PS3,Sports,0.18,0.05,0.0,0.03,0.27,0.05
Wipeout 2,X360,Misc,0.25,0.0,0.0,0.02,0.27,0.0
MotoGP,PS2,Racing,0.06,0.05,0.14,0.02,0.27,0.19
Mass Effect 3,WiiU,Role-Playing,0.14,0.11,0.0,0.02,0.27,0.11
Batman: Arkham Origins Blackgate,3DS,Action,0.16,0.09,0.0,0.02,0.27,0.09
Jikkyou Powerful Pro Yakyuu 2,SNES,Sports,0.0,0.0,0.27,0.0,0.27,0.27
Shadows of the Damned,PS3,Action,0.11,0.09,0.04,0.03,0.27,0.13
R.U.S.E.,PC,Strategy,0.04,0.19,0.0,0.04,0.27,0.19
Ratatouille: Food Frenzy,DS,Puzzle,0.25,0.0,0.0,0.02,0.27,0.0
LEGO Marvel's Avengers,PS3,Action,0.1,0.12,0.0,0.04,0.27,0.12
Rock Revolution,PS3,Misc,0.25,0.0,0.0,0.02,0.27,0.0
Thoroughbred Breeder II,SNES,Simulation,0.0,0.0,0.27,0.0,0.27,0.27
Magical Vacation,GBA,Role-Playing,0.0,0.0,0.26,0.01,0.27,0.26
NBA Live 2004,GC,Sports,0.21,0.05,0.0,0.01,0.27,0.05
XGIII: Extreme G Racing,PS2,Racing,0.13,0.1,0.0,0.03,0.27,0.1
NASCAR Thunder 2003,XB,Racing,0.2,0.06,0.0,0.01,0.27,0.06
Superbike 2000,PS,Racing,0.15,0.1,0.0,0.02,0.27,0.1
Punch-Out!!,Wii,Sports,0.0,0.22,0.05,0.0,0.27,0.27
Despicable Me: The Game,Wii,Platform,0.16,0.08,0.0,0.02,0.27,0.08
Final Fantasy XI: Ultimate Collection,X360,Role-Playing,0.25,0.0,0.0,0.02,0.27,0.0
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,Strategy,0.0,0.0,0.27,0.0,0.27,0.27
Connect Four / Perfection / Trouble,GBA,Misc,0.19,0.07,0.0,0.0,0.27,0.07
NFL Street 3,PSP,Sports,0.24,0.0,0.0,0.02,0.27,0.0
Pro Evolution Soccer 2013,PSP,Sports,0.0,0.07,0.18,0.03,0.27,0.25
Alundra 2: A New Legend Begins,PS,Role-Playing,0.15,0.1,0.0,0.02,0.27,0.1
Reign of Fire,PS2,Shooter,0.13,0.1,0.0,0.03,0.27,0.1
Scooby-Doo! and the Spooky Swamp,PS2,Action,0.08,0.11,0.0,0.08,0.27,0.11
Beyblade: Metal Masters,DS,Action,0.14,0.09,0.0,0.03,0.27,0.09
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,Sports,0.0,0.0,0.25,0.02,0.27,0.25
The Sims 2: Pets,GC,Simulation,0.21,0.05,0.0,0.01,0.27,0.05
Littlest Pet Shop: Beach Friends,DS,Simulation,0.25,0.0,0.0,0.02,0.27,0.0
Ultimate NES Remix,3DS,Action,0.15,0.09,0.0,0.02,0.27,0.09
I Spy: Spooky Mansion,Wii,Puzzle,0.25,0.0,0.0,0.02,0.27,0.0
Tropico 4,PC,Strategy,0.1,0.13,0.0,0.04,0.27,0.13
The BIGS,X360,Sports,0.18,0.08,0.0,0.0,0.27,0.08
Initial D: Special Stage,PS2,Racing,0.0,0.0,0.27,0.0,0.27,0.27
Jurassic Park: Operation Genesis,PS2,Simulation,0.13,0.1,0.0,0.03,0.27,0.1
Final Doom,PS,Shooter,0.15,0.1,0.0,0.02,0.27,0.1
NBA ShootOut 2001,PS,Sports,0.15,0.1,0.0,0.02,0.27,0.1
Just Dance Kids 2,Wii,Misc,0.25,0.0,0.0,0.02,0.27,0.0
Knockout Kings 2002,XB,Sports,0.2,0.06,0.0,0.01,0.27,0.06
Pinkalicious,DS,Misc,0.25,0.0,0.0,0.02,0.27,0.0
Cabela's Big Game Hunter 2010,X360,Sports,0.25,0.0,0.0,0.02,0.27,0.0
Battle Arena Toshinden 3,PS,Fighting,0.06,0.04,0.14,0.02,0.27,0.18000000000000002
Jade Cocoon: Story of the Tamamayu,PS,Role-Playing,0.15,0.1,0.0,0.02,0.27,0.1
Super Nazo Puyo: Ruruu no Ruu,SNES,Puzzle,0.0,0.0,0.27,0.0,0.27,0.27
InuYasha: Feudal Combat,PS2,Fighting,0.13,0.1,0.0,0.03,0.27,0.1
Reader Rabbit Kindergarten,DS,Misc,0.25,0.0,0.0,0.02,0.27,0.0
R.U.S.E.,X360,Strategy,0.12,0.11,0.0,0.02,0.27,0.11
Duel Masters,PS2,Strategy,0.13,0.1,0.0,0.03,0.27,0.1
Dragon Age Origins: Awakening,PS3,Role-Playing,0.24,0.0,0.0,0.02,0.27,0.0
Super Collapse! 3,DS,Puzzle,0.25,0.0,0.0,0.02,0.27,0.0
Ratatouille,X360,Action,0.23,0.02,0.0,0.02,0.27,0.02
MotionSports: Adrenaline,X360,Sports,0.14,0.1,0.0,0.03,0.27,0.1
The Dog Island,PS2,Adventure,0.13,0.1,0.0,0.03,0.27,0.1
Cake Mania 2: Jill's Next Adventure!,DS,Puzzle,0.24,0.0,0.0,0.02,0.27,0.0
AC/DC LIVE: Rock Band Track Pack,Wii,Misc,0.24,0.0,0.0,0.02,0.27,0.0
Boogie,DS,Misc,0.24,0.0,0.0,0.02,0.27,0.0
Jikkyou Powerful Pro Yakyuu 2010,PS3,Sports,0.0,0.0,0.27,0.0,0.27,0.27
Operation Armored Liberty,GBA,Action,0.19,0.07,0.0,0.0,0.27,0.07
NBA 07,PS3,Sports,0.24,0.0,0.01,0.02,0.27,0.01
Call of Juarez: The Cartel,X360,Shooter,0.14,0.1,0.0,0.03,0.27,0.1
My Japanese Coach,DS,Misc,0.24,0.0,0.0,0.02,0.27,0.0
Are You Smarter than a 5th Grader? Game Time,Wii,Puzzle,0.25,0.0,0.0,0.02,0.27,0.0
Need for Speed: Most Wanted,DS,Racing,0.24,0.01,0.0,0.02,0.27,0.01
And1 Streetball,PS2,Action,0.13,0.1,0.0,0.03,0.27,0.1
Section 8,X360,Shooter,0.15,0.09,0.0,0.02,0.27,0.09
