NOME,PLATAFORMA,GENERO,VENDAS(AN),VENDAS(EU),VENDAS(JP),VENDAS(Outros),VENDAS(GLOBAL),soma_total
Super Mario Sunshine,GC,Platform,4.01,1.26,0.87,0.17,6.31,2.13
Street Fighter II: The World Warrior,SNES,Fighting,2.47,0.83,2.87,0.12,6.3,3.7
World of Warcraft,PC,Role-Playing,0.08,6.21,0.0,0.0,6.29,6.21
Driver,PS,Action,3.11,2.8,0.02,0.33,6.27,2.82
Gears of War 3,X360,Shooter,4.05,1.59,0.07,0.5,6.21,1.6600000000000001
Kinect Sports,X360,Sports,3.92,1.73,0.03,0.51,6.19,1.76
Gears of War,X360,Shooter,3.54,1.88,0.07,0.6,6.09,1.95
FIFA 15,PS4,Sports,0.8,4.33,0.05,0.9,6.08,4.38
Metal Gear Solid 2: Sons of Liberty,PS2,Action,2.45,2.01,0.87,0.72,6.05,2.88
Sonic the Hedgehog 2,GEN,Platform,4.47,1.2,0.16,0.19,6.03,1.3599999999999999
Metal Gear Solid,PS,Action,3.18,1.83,0.78,0.24,6.03,2.6100000000000003
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,2.63,1.71,0.83,0.82,5.99,2.54
Final Fantasy XII,PS2,Role-Playing,1.88,0.0,2.33,1.74,5.95,2.33
The Last of Us,PS3,Action,2.41,2.18,0.28,0.99,5.87,2.46
LittleBigPlanet,PS3,Platform,2.8,1.98,0.17,0.87,5.82,2.15
Resident Evil 2,PS,Action,1.88,1.47,2.02,0.45,5.82,3.49
Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,0.63,0.67,4.35,0.15,5.78,5.02
Tekken 2,PS,Fighting,2.26,1.89,1.36,0.23,5.74,3.25
Destiny,PS4,Shooter,2.49,2.07,0.16,0.92,5.64,2.23
LEGO Star Wars: The Complete Saga,Wii,Action,3.57,1.55,0.0,0.51,5.64,1.55
Cooking Mama,DS,Simulation,3.07,1.91,0.07,0.57,5.63,1.98
Tetris,NES,Puzzle,2.97,0.69,1.81,0.11,5.58,2.5
Super Smash Bros.,N64,Fighting,2.95,0.6,1.97,0.04,5.55,2.57
Assassin's Creed II,PS3,Action,2.54,1.93,0.21,0.86,5.55,2.14
Assassin's Creed,X360,Adventure,3.28,1.64,0.07,0.56,5.54,1.71
Forza Motorsport 3,X360,Racing,2.99,1.9,0.1,0.5,5.49,2.0
Super Mario Advance,GBA,Platform,3.14,1.24,0.91,0.2,5.49,2.15
Monster Hunter Freedom Unite,PSP,Role-Playing,0.47,0.55,4.13,0.34,5.48,4.68
Batman: Arkham City,PS3,Action,2.71,1.85,0.11,0.81,5.48,1.9600000000000002
Grand Theft Auto V,XOne,Action,2.81,2.19,0.0,0.47,5.48,2.19
Mario Kart: Super Circuit,GBA,Racing,2.62,1.64,0.99,0.23,5.47,2.63
